CLs_exp_b_m1	CLs_exp_b_med	CLs_exp_b_m2	chi2	CLb_exp_s_m2	ts	CLb	CLb_exp_s_p2	CLb_exp_s_m1	CLsb	CLb_exp_s_p1	BR	CLs_exp_b_p2	CLb_exp_s_med	CLs_exp_b_p1	CLs
0.0163095238095	0.001856	0.106171399335	0.0	1.0	-22.9530757672	0.999732	0.88723	0.999988	0.553458	0.988572	3.0001	0.0	0.999502	0.0002125	0.553606366506
0.0144047619048	0.001656	0.0973404962906	0.0	1.0	-22.9847951243	0.999684	0.897324	0.99999	0.535236	0.98992	3.0501	0.0	0.999558	0.0001375	0.535405188039
0.0134357142857	0.001396	0.0910821181888	0.0	1.0	-23.0113857439	0.99972	0.902026	0.999988	0.51828	0.991274	3.1001	0.0	0.999682	0.00015	0.518425159045
0.01195	0.001312	0.0838516244564	0.0	1.0	-23.0329562786	0.999714	0.910844	0.999994	0.501444	0.992128	3.1501	0.0	0.999706	0.000125	0.501587454012
0.0107261904762	0.000996	0.0786656433871	0.0	1.0	-23.0496115836	0.999646	0.918032	0.999994	0.485314	0.992936	3.2001	8.79120879097e-05	0.999694	5e-05	0.485485861995
0.00967857142857	0.001024	0.0723990790484	0.0	1.0	-23.0614529007	0.999712	0.92405	0.999996	0.466978	0.993752	3.2501	0.0	0.999794	0.0001125	0.467112528408
0.00869523809524	0.00082	0.0667915067792	0.0	1.0	-23.0685780295	0.999702	0.930008	1.0	0.45054	0.994418	3.3001	0.0	0.99982	5e-05	0.450674300942
0.00780476190476	0.000756	0.061413149143	0.0	1.0	-23.0710814899	0.999686	0.935046	1.0	0.433586	0.995074	3.3501	0.0	0.99985	5e-05	0.433722188767
0.00693333333333	0.00066	0.0573650550013	0.0	1.0	-23.0690546735	0.999692	0.940524	0.999998	0.417152	0.995776	3.4001	0.0	0.99987	8.74999999997e-05	0.417280522401
0.0062880952381	0.00052	0.0527541570734	0.0	1.0	-23.0625859868	0.999698	0.945516	0.999994	0.401618	0.996038	3.4501	0.0	0.999878	7.50000000001e-05	0.401739325276
0.00571904761905	0.000464	0.0492790995139	0.0	1.0	-23.0517609859	0.999656	0.949618	1.0	0.386184	0.996654	3.5001	0.0	0.999874	5e-05	0.386316893011
0.00501428571429	0.000428	0.0452494244052	0.0	1.0	-23.0366625039	0.99969	0.954266	1.0	0.369898	0.99706	3.5501	0.0	0.999904	6.24999999997e-05	0.370012703938
0.00446904761905	0.00034	0.042310565362	0.0	1.0	-23.0173707698	0.999662	0.957082	1.0	0.35561	0.997408	3.6001	0.0	0.999922	5e-05	0.35573023682
0.00417142857143	0.000364	0.0388682527501	0.0	1.0	-22.9939635227	0.999662	0.960646	0.999994	0.341164	0.997616	3.6501	0.0	0.999926	3.74999999997e-05	0.341279352421
0.00364523809524	0.00034	0.0350391404451	0.0	1.0	-22.9665161178	0.999692	0.964434	1.0	0.325642	0.997974	3.7001	0.0	0.999952	2.5e-05	0.325742328637
0.00339523809524	0.00026	0.0327858787414	0.0	1.0	-22.9351016277	0.999698	0.96727	1.0	0.31178	0.998112	3.7501	0.0	0.999966	2.5e-05	0.311874186004
0.00304285714286	0.000212	0.0295911997953	0.0	1.0	-22.8997909381	0.999712	0.970512	1.0	0.29673	0.998462	3.8001	0.0	0.99996	2.5e-05	0.296815482859
0.00259761904762	0.000236	0.0273768227168	0.0	1.0	-22.8606528381	0.999698	0.9729	1.0	0.283992	0.998614	3.8501	0.0	0.999972	1.24999999997e-05	0.284077791493
0.00235238095238	0.000184	0.0254755691993	0.0	1.0	-22.8177541063	0.99965	0.975072	1.0	0.271294	0.998662	3.9001	0.0	0.99998	0.0	0.271388986145
0.00221428571429	0.00014	0.023023791251	0.0	1.0	-22.7711595912	0.999682	0.977542	1.0	0.257488	0.998902	3.9501	0.0	0.999988	0.0	0.25756990723
0.00193095238095	0.000124	0.0210836531082	0.0	1.0	-22.7209322894	0.999688	0.97952	1.0	0.246154	0.99905	4.0001	0.0	0.99998	1.24999999997e-05	0.246230824017
0.0016119047619	0.000108	0.0193154259401	0.0	1.0	-22.6671334179	0.999674	0.981322	1.0	0.234022	0.999156	4.0501	0.0	0.999976	1.24999999997e-05	0.234098316051
0.0014380952381	0.000108	0.017518546943	0.0	1.0	-22.6098224841	0.99968	0.983112	1.0	0.222234	0.99928	4.1001	0.0	0.999986	0.0	0.222305137644
0.00142142857143	0.0001	0.0166037349706	0.0	1.0	-22.5490573514	0.999672	0.984184	1.0	0.211568	0.999302	4.1501	0.0	0.999988	0.0	0.211637417073
0.00120714285714	5.19999999999e-05	0.0147454591967	0.0	1.0	-22.4848943025	0.99967	0.986102	1.0	0.201058	0.999414	4.2001	0.0	0.99999	0.0	0.201124371042
0.00109523809524	5.19999999999e-05	0.0140475825019	0.0	1.0	-22.4173880987	0.999686	0.986862	1.0	0.190008	0.99947	4.2501	0.0	0.999992	0.0	0.190067681252
0.000959523809524	7.6e-05	0.0123878229726	0.0	1.0	-22.3465920371	0.999652	0.988266	1.0	0.180692	0.99954	4.3001	0.0	0.999992	0.0	0.180754902706
0.000861904761905	5.19999999999e-05	0.0114116142236	0.0	1.0	-22.2725580043	0.999706	0.989524	1.0	0.171666	0.999658	4.3501	0.0	1.0	1.24999999997e-05	0.171716484646
0.000702380952381	4.39999999999e-05	0.0102532617038	0.0	1.0	-22.1953365287	0.9997	0.990526	1.0	0.161354	0.999694	4.4001	0.0	0.999994	0.0	0.161402420726
0.000671428571429	4e-05	0.00946942952162	0.0	1.0	-22.1149768291	0.999678	0.991416	1.0	0.153152	0.999718	4.4501	0.0	0.999996	1.24999999997e-05	0.153201330829
0.000557142857143	4e-05	0.00851163980558	0.0	1.0	-22.0315268618	0.999678	0.992302	1.0	0.144496	0.999748	4.5001	0.0	1.0	1.24999999997e-05	0.144542542699
0.000588095238095	2.4e-05	0.00815144538245	0.0	1.0	-21.9450333655	0.999652	0.99285	1.0	0.136862	0.999752	4.5501	0.0	0.999996	0.0	0.136909644556
0.000411904761905	3.2e-05	0.00695216167818	0.0	1.0	-21.8555419043	0.999678	0.993896	1.0	0.128554	0.999824	4.6001	0.0	0.999992	0.0	0.128595407721
0.000402380952381	1.6e-05	0.00656331542594	0.0	1.0	-21.7630969078	0.99966	0.994488	1.0	0.120672	0.99985	4.6501	0.0	0.999998	1.24999999997e-05	0.120713042434
0.000361904761905	2.79999999999e-05	0.00604144282425	0.0	1.0	-21.6677417111	0.999668	0.994934	1.0	0.114022	0.999864	4.7001	0.0	1.0	0.0	0.114059867876
0.00032619047619	1.99999999999e-05	0.00539677666922	0.0	1.0	-21.5695185913	0.999668	0.99526	1.0	0.108052	0.999874	4.7501	0.0	0.999996	1.24999999997e-05	0.108087885178
0.000290476190476	2.4e-05	0.00469480685597	0.0	1.0	-21.4684688039	0.999678	0.995994	1.0	0.101424	0.999876	4.8001	0.0	0.999998	0.0	0.101456669047
0.000295238095238	1.19999999999e-05	0.00425479662318	0.0	1.0	-21.3646326164	0.999674	0.996274	1.0	0.094878	0.99989	4.8501	0.0	1.0	0.0	0.0949089403145
0.000192857142857	0.0	0.00409516500384	0.0	1.0	-21.2580493416	0.999666	0.99666	1.0	0.088988	0.999932	4.9001	0.0	1.0	0.0	0.0890177319225
0.000266666666667	3.99999999989e-06	0.00374520337682	0.0	1.0	-21.1487573685	0.999702	0.996964	1.0	0.084552	0.999912	4.9501	0.0	1.0	0.0	0.0845772040068
0.000188095238095	0.0	0.00335431056536	0.0	1.0	-21.0367941925	0.999672	0.997344	1.0	0.079022	0.99994	5.0001	0.0	1.0	0.0	0.0790479277203
0.000140476190476	3.99999999989e-06	0.00318853926836	0.0	1.0	-20.9221964441	0.999646	0.997636	1.0	0.07389	0.999958	5.0501	0.0	1.0	0.0	0.0739161663229
0.000142857142857	0.0	0.00274034279867	0.0	1.0	-20.8049999167	0.999704	0.997948	1.0	0.069192	0.999974	5.1001	0.0	1.0	0.0	0.0692124868961
0.000142857142857	3.99999999989e-06	0.00261959580455	0.0	1.0	-20.685239593	0.999676	0.998144	1.0	0.064522	0.999968	5.1501	0.0	1.0	0.0	0.0645429119035
0.000116666666667	1.6e-05	0.00232489127654	0.0	1.0	-20.5629496704	0.99971	0.998276	1.0	0.06024	0.999976	5.2001	0.0	1.0	1.24999999997e-05	0.0602574746677
0.000102380952381	3.99999999989e-06	0.00208135072909	0.0	1.0	-20.4381635852	0.999706	0.99862	1.0	0.056466	0.99997	5.2501	0.0	1.0	0.0	0.0564826058861
6.19047619048e-05	0.0	0.00186032233308	0.0	1.0	-20.3109140366	0.999684	0.998624	1.0	0.0527	0.999974	5.3001	0.0	1.0	0.0	0.0527166584641
8.33333333334e-05	0.0	0.00176618060885	0.0	1.0	-20.1812330087	0.99968	0.998804	1.0	0.049638	0.999974	5.3501	0.0	0.999998	0.0	0.0496538892446
8.09523809523e-05	3.99999999989e-06	0.00156152468662	0.0	1.0	-20.0491517922	0.999682	0.99896	1.0	0.046086	0.99998	5.4001	0.0	1.0	0.0	0.0461006600099
5.95238095238e-05	3.99999999989e-06	0.0013118444615	0.0	1.0	-19.9147010055	0.999682	0.999	1.0	0.043256	0.99998	5.4501	0.0	1.0	0.0	0.0432697597836
6.90476190476e-05	0.0	0.00117677155283	0.0	1.0	-19.7779106145	0.999698	0.99919	1.0	0.040482	0.999988	5.5001	0.0	1.0	0.0	0.0404942292572
6.42857142857e-05	8.00000000001e-06	0.00105602455871	0.0	1.0	-19.6388099519	0.999644	0.9992	1.0	0.037876	0.999986	5.5501	0.0	1.0	0.0	0.037889488658
6.19047619048e-05	8.00000000001e-06	0.000980301867485	0.0	1.0	-19.4974277357	0.99968	0.99929	1.0	0.034738	0.999988	5.6001	0.0	1.0	0.0	0.0347491197183
3.57142857143e-05	3.99999999989e-06	0.000947556919928	0.0	1.0	-19.3537920872	0.999636	0.999368	1.0	0.03265	0.999992	5.6501	0.0	1.0	0.0	0.0326618889276
4.04761904762e-05	3.99999999989e-06	0.000804297774367	0.0	1.0	-19.2079305477	0.999652	0.99945	1.0	0.03045	0.999998	5.7001	0.0	1.0	0.0	0.0304606002889
4.04761904762e-05	0.0	0.000769506267588	0.0	1.0	-19.059870096	0.999676	0.99954	1.0	0.028228	0.999994	5.7501	0.0	1.0	0.0	0.0282371488362
1.42857142857e-05	0.0	0.000644666155027	0.0	1.0	-18.9096371631	0.999672	0.999598	1.0	0.02571	0.999996	5.8001	0.0	1.0	0.0	0.0257184356469
2.85714285715e-05	0.0	0.00061192120747	0.0	1.0	-18.7572576488	0.99964	0.999606	1.0	0.024374	0.999996	5.8501	0.0	1.0	0.0	0.0243827778
1.19047619047e-05	0.0	0.000530058838578	0.0	1.0	-18.6027569356	0.99964	0.999654	1.0	0.02221	1.0	5.9001	0.0	1.0	0.0	0.0222179984795
1.66666666666e-05	0.0	0.000489127654131	0.0	1.0	-18.4461599036	0.999658	0.999722	1.0	0.020926	1.0	5.9501	0.0	1.0	0.0	0.0209331591404
7.1428571428e-06	0.0	0.000378613456127	0.0	1.0	-18.2874909438	0.99968	0.999764	1.0	0.01878	0.999998	6.0001	0.0	1.0	0.0	0.0187860115237
9.52380952382e-06	0.0	0.000394985929905	0.0	1.0	-18.1267739718	0.999694	0.999804	1.0	0.01801	0.999996	6.0501	0.0	1.0	0.0	0.0180155127469
9.52380952382e-06	0.0	0.000378613456127	0.0	1.0	-17.9640324405	0.999652	0.999812	1.0	0.01671	0.999994	6.1001	0.0	1.0	0.0	0.0167158171044
1.66666666666e-05	0.0	0.000337682271681	0.0	1.0	-17.7992893527	0.999684	0.999836	1.0	0.015224	1.0	6.1501	0.0	1.0	0.0	0.0152288123047
9.52380952382e-06	0.0	0.000284471731901	0.0	1.0	-17.6325672725	0.999632	0.999832	1.0	0.01433	0.999998	6.2001	0.0	1.0	0.0	0.0143352753813
4.76190476191e-06	0.0	0.000276285495012	0.0	1.0	-17.4638883376	0.999634	0.999848	1.0	0.01307	1.0	6.2501	0.0	1.0	0.0	0.0130747853714
1.42857142857e-05	0.0	0.000214888718342	0.0	1.0	-17.2932742702	0.999662	0.999892	1.0	0.01235	1.0	6.3001	0.0	1.0	0.0	0.0123541757114
4.76190476191e-06	0.0	0.000225121514454	0.0	1.0	-17.1207463875	0.999622	0.999898	1.0	0.0115	0.999996	6.3501	0.0	1.0	0.0	0.0115043486438
4.76190476191e-06	0.0	0.000184190330008	0.0	1.0	-16.9463256127	0.999654	0.999898	1.0	0.010296	1.0	6.4001	0.0	1.0	0.0	0.010299563649
4.76190476191e-06	0.0	0.000139166027117	0.0	1.0	-16.7700324849	0.99964	0.9999	1.0	0.009732	1.0	6.4501	0.0	1.0	0.0	0.00973550478172
2.38095238089e-06	0.0	0.000147352264006	0.0	1.0	-16.5918871685	0.999644	0.999918	1.0	0.008976	1.0	6.5001	0.0	1.0	0.0	0.00897919659399
2.38095238089e-06	0.0	0.000135072908672	0.0	1.0	-16.4119094633	0.999666	0.999942	1.0	0.008046	1.0	6.5501	0.0	1.0	0.0	0.00804868826188
4.76190476191e-06	0.0	0.000120746994116	0.0	1.0	-16.2301188133	0.999654	0.999954	1.0	0.007592	1.0	6.6001	0.0	1.0	0.0	0.0075946277412
0.0	0.0	9.61882834485e-05	0.0	1.0	-16.0465343155	0.999648	0.99995	1.0	0.007134	0.999998	6.6501	0.0	1.0	0.0	0.00713651205224
2.38095238089e-06	0.0	0.000104374520338	0.0	1.0	-15.8611747289	0.999644	0.999968	1.0	0.00662	1.0	6.7001	0.0	1.0	0.0	0.00662235755929
4.76190476191e-06	0.0	0.000102327961115	0.0	1.0	-15.6740584821	0.999658	0.999956	1.0	0.005926	1.0	6.7501	0.0	1.0	0.0	0.00592802738537
2.38095238089e-06	0.0	7.981580967e-05	0.0	1.0	-15.4852036821	0.999662	0.99996	1.0	0.0054	1.0	6.8001	0.0	1.0	0.0	0.00540182581713
0.0	0.0	7.16295727808e-05	0.0	1.0	-15.2946281218	0.999666	0.999978	1.0	0.005112	1.0	6.8501	0.0	1.0	0.0	0.00511370797846
2.38095238089e-06	0.0	6.34433358915e-05	0.0	1.0	-15.1023492873	0.999678	0.99998	1.0	0.004716	1.0	6.9001	0.0	1.0	0.0	0.00471751904113
2.38095238089e-06	0.0	5.321053978e-05	0.0	1.0	-14.9083843656	0.999648	0.999986	1.0	0.00444	1.0	6.9501	0.0	1.0	0.0	0.00444156343033
0.0	0.0	3.68380660016e-05	0.0	1.0	-14.7127502517	0.999646	0.999974	1.0	0.003952	1.0	7.0001	0.0	1.0	0.0	0.00395339950342
0.0	0.0	4.50243028908e-05	0.0	1.0	-14.5154635552	0.99965	0.99999	1.0	0.003562	1.0	7.0501	0.0	1.0	0.0	0.0035632471365
2.38095238089e-06	0.0	5.321053978e-05	0.0	1.0	-14.3165406072	0.999646	0.999976	1.0	0.00341	1.0	7.1001	0.0	1.0	0.0	0.00341120756748
2.38095238089e-06	0.0	3.88846252238e-05	0.0	1.0	-14.1159974668	0.999692	0.999992	1.0	0.003022	1.0	7.1501	0.0	1.0	0.0	0.00302293106277
2.38095238089e-06	0.0	4.09311844462e-05	0.0	1.0	-13.9138499273	0.99967	0.99999	1.0	0.002902	1.0	7.2001	0.0	1.0	0.0	0.00290295797613
2.38095238089e-06	0.0	3.06983883346e-05	0.0	1.0	-13.7101135223	0.999678	0.999988	1.0	0.002532	1.0	7.2501	0.0	1.0	0.0	0.00253281556661
0.0	0.0	2.660526989e-05	0.0	1.0	-13.5048035318	0.99965	0.999992	1.0	0.002446	1.0	7.3001	0.0	1.0	0.0	0.00244685639974
2.38095238089e-06	0.0	3.47915067792e-05	0.0	1.0	-13.2979349876	0.999694	0.999996	1.0	0.002284	1.0	7.3501	0.0	1.0	0.0	0.00228469911793
0.0	0.0	1.43259145561e-05	0.0	1.0	-13.0895226794	0.999696	0.999998	1.0	0.001986	1.0	7.4001	0.0	1.0	0.0	0.00198660392759
0.0	0.0	2.04655922231e-05	0.0	1.0	-12.8795811598	0.999592	1.0	1.0	0.001836	1.0	7.4501	0.0	1.0	0.0	0.00183674939375
0.0	0.0	2.04655922225e-06	0.0	1.0	-12.6681247496	0.999674	1.0	1.0	0.001742	1.0	7.5001	0.0	1.0	0.0	0.00174256807719
0.0	0.0	2.04655922231e-05	0.0	1.0	-12.4551675433	0.999684	0.999998	1.0	0.001522	1.0	7.5501	0.0	1.0	0.0	0.00152248110403
0.0	0.0	6.13967766687e-06	0.0	1.0	-12.2407234135	0.999632	0.999998	1.0	0.001354	1.0	7.6001	0.0	1.0	0.0	0.00135449845543
